AttractionName;Park;10:00;10:05;10:10;10:15;10:20;10:25;10:30;10:35;10:40;10:45;10:50;10:55;11:00;11:05;11:10;11:15;11:20;11:25;11:30;11:35;11:40;11:45;11:50;11:55;12:00;12:05;12:10;12:15;12:20;12:25;12:30;12:35;12:40;12:45;12:50;12:55;13:00;13:05;13:10;13:15;13:20;13:25;13:30;13:35;13:40;13:45;13:50;13:55;14:00;14:05;14:10;14:15;14:20;14:25;14:30;14:35;14:40;14:45;14:50;14:55;15:00;15:05;15:10;15:15;15:20;15:25;15:30;15:35;15:40;15:45;15:50;15:55;16:00;16:05;16:10;16:15;16:20;16:25;16:30;16:35;16:40;16:45;16:50;16:55;17:00;17:05;17:10;17:15;17:20;17:25;17:30;17:35;17:40;17:45;17:50;17:55;18:00;18:05;18:10;18:15;18:20;18:25;18:30;18:35;18:40;18:45;18:50;18:55;19:00;19:05;19:10;19:15;19:20;19:25;19:30;19:35;19:40;19:45;19:50;19:55
Attraction11;Park1;11;10;9;8;8;11;8;8;8;8;9;9;11;14;13;14;13;9;15;9;10;15;12;13;18;14;16;18;17;16;17;16;17;13;11;17;19;19;16;17;11;11;15;16;17;18;16;16;14;19;11;14;15;11;17;11;13;19;15;11;22;19;22;12;19;16;21;21;17;13;21;17;12;20;17;19;12;13;14;20;18;15;20;19;15;22;21;20;15;13;14;19;19;20;21;20;15;12;15;12;20;19;18;12;16;13;17;21;16;11;12;10;11;13;11;9;12;14;11;11
Attraction12;Park1;3;2;3;4;3;2;2;3;2;4;3;3;5;3;5;3;3;4;4;4;3;3;4;4;5;3;3;3;3;4;5;5;5;4;4;4;4;4;4;5;4;4;4;4;5;6;4;4;3;4;5;6;3;4;6;5;5;5;5;4;5;6;7;4;8;5;7;5;7;5;7;5;5;4;5;4;4;4;5;5;6;4;7;7;5;4;5;4;3;5;6;6;5;3;5;6;6;4;5;4;4;4;3;3;5;4;6;3;6;3;4;4;6;3;5;5;4;3;4;4
Attraction13;Park1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;2;1;2;2;1;2;2;3;1;2;2;2;1;2;2;2;2;3;2;3;3;3;3;2;2;2;3;2;2;3;3;2;2;3;2;3;2;3;2;3;2;2;3;2;2;3;3;2;3;1;1;2;3;3;3;2;1;2;3;2;2;2;2;1;1;1;2;2;3;2;2;2;2;3;2;2;2;1;2
Attraction14;Park1;8;7;7;6;7;6;10;9;7;6;8;10;12;14;10;15;11;11;13;15;15;14;9;13;14;13;13;17;14;17;17;18;16;19;17;14;10;10;11;14;14;10;14;11;16;10;14;10;12;17;11;18;17;14;15;18;11;10;12;11;13;21;19;19;19;14;15;19;12;16;17;20;21;21;18;22;23;18;24;24;20;23;25;18;20;12;12;11;18;12;14;15;19;16;16;14;15;14;18;15;20;15;12;16;14;18;12;17;17;16;9;17;15;13;15;13;15;14;11;13
Attraction15;Park1;7;6;7;8;7;8;4;6;7;6;7;5;8;8;8;7;8;6;7;8;9;7;6;8;12;9;8;9;8;12;12;7;8;10;13;11;7;11;8;8;7;7;11;12;12;11;6;11;10;13;10;9;11;11;10;9;10;10;14;14;10;13;14;10;9;9;13;14;10;14;10;9;16;15;9;13;14;14;9;15;9;16;12;14;9;10;13;16;14;10;16;9;16;12;15;13;8;11;9;12;10;10;8;13;13;9;10;10;14;13;14;9;14;11;12;11;10;9;8;10
Attraction16;Park1;9;7;6;10;9;8;10;7;8;7;10;9;11;8;11;11;10;9;9;9;10;10;9;14;14;17;12;13;12;15;16;16;16;16;10;15;11;16;12;10;16;15;13;12;15;12;11;15;19;12;18;14;19;18;17;14;21;20;20;18;14;23;20;21;15;25;19;15;19;14;16;16;14;19;20;16;18;19;17;14;13;20;18;12;15;18;15;20;23;19;15;16;22;15;15;13;11;21;18;11;19;16;14;15;11;16;13;15;10;16;9;10;12;13;13;12;11;13;11;16
Attraction17;Park1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;2;1;2;1;2;2;2;1;2;2;1;2;2;1;1;3;2;2;2;2;2;3;2;2;1;2;2;2;3;1;2;2;2;3;2;2;1;1;2;2;3;3;2;2;2;2;3;3;3;3;2;3;3;2;2;3;3;2;3;2;2;2;3;2;2;3;3;3;3;3;3;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;3;1;2;2;2;2;2;2;2;2;2
Attraction18;Park1;6;7;6;7;6;8;6;6;7;6;8;6;9;6;6;8;9;9;6;8;6;6;6;10;8;8;14;12;9;11;10;8;11;8;10;9;12;8;7;9;10;8;12;12;10;8;12;7;12;12;10;12;10;12;11;8;10;13;11;13;13;15;11;11;15;15;10;13;12;11;13;8;11;13;10;11;11;15;10;11;15;14;15;13;13;13;11;14;15;16;13;16;18;11;11;17;11;12;13;11;7;10;13;13;11;8;13;10;8;10;8;9;6;11;7;7;7;10;11;9
Attraction19;Park1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;1;1;2;1;2;3;2;2;2;2;2;2;2;1;2;1;2;2;3;2;2;2;2;2;3;3;3;3;2;2;2;2;3;3;3;3;3;2;2;2;2;3;2;2;3;2;2;3;2;3;3;3;2;1;1;2;2;2;2;2;3;2;2;2;2;3;3;2;2;2;2;2;2;3;2;2;2;2;3;2;3;2;1;1;1;3;1;2;2;2;2;2;2
Attraction20;Park1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;2;2;1;2;2;2;1;2;2;2;2;1;2;2;2;1;2;2;1;2;2;2;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;3;2;2;2;2;4;3;2;3;3;2;2;3;3;3;2;2;3;2;3;2;2;2;3;3;2;2;2;3;2;2;2;3;2;3;3;2;2;3;3;2;2;3;3;1;2;2;2;2;3;3;3;2;2;2;2;2;2;1;2;1;1;1;2;2
Attraction21;Park1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;2;2;1;1;1;1;1;1;2;1;2;1;1;2;2;1;1;2;2;2;1;2;1;2;1;2;2;2;1;2;2;2;2;2;1;3;1;2;1;3;2;2;2;3;2;3;2;2;2;3;2;3;2;2;3;2;2;2;2;3;2;3;3;2;2;3;2;2;3;1;3;2;2;2;3;2;2;3;3;2;2;2;2;1;3;3;2;2;2;2;2;1;2;2;1;2;1;1;2;1;1
Attraction22;Park1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;1;2;1;2;1;2;1;1;2;2;1;3;2;2;2;2;2;2;3;2;2;2;2;2;2;3;3;2;3;3;3;3;2;3;2;3;2;2;3;2;2;4;3;2;2;3;3;3;2;3;2;2;3;3;3;3;2;3;2;2;2;2;3;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2
Attraction23;Park1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;1;2;1;2;3;2;1;2;2;1;2;2;3;1;2;2;2;2;2;2;3;2;3;2;3;2;2;3;1;2;3;2;2;3;2;3;1;3;1;3;3;3;3;3;3;3;3;2;3;2;2;2;3;2;2;3;3;2;2;2;3;3;2;2;2;3;3;3;3;2;3;2;3;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;1;2;2;1;2;2;2;2
Attraction24;Park1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;2;1;1;2;1;1;1;2;2;2;2;1;2;2;1;2;2;1;2;3;2;2;2;3;3;3;2;2;3;2;2;2;3;3;2;2;2;2;3;2;2;2;2;2;3;3;2;3;3;2;3;2;1;1;2;3;2;3;3;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;2;3;2;3;2;2;3;3;3;3;2;3;3;3;3;2;3;2;3;2;3;3;2;2;2;2;2;1;2
Attraction25;Park1;4;3;4;5;4;5;5;4;3;5;4;4;8;5;7;5;7;6;8;5;8;6;6;7;9;10;7;7;8;10;9;11;7;10;11;9;6;9;8;11;11;6;7;9;7;9;10;8;7;9;11;9;7;8;10;9;7;7;11;7;10;8;10;12;8;11;10;7;10;10;10;9;7;11;7;7;11;8;10;8;8;9;10;7;8;11;12;9;7;12;9;9;11;10;11;10;11;7;7;10;7;9;11;6;9;8;8;7;9;6;8;10;7;11;11;9;10;8;9;7
Attraction26;Park1;5;4;5;5;5;4;4;4;6;5;6;5;8;7;8;7;7;7;6;5;8;8;7;9;6;8;11;7;10;7;7;10;10;6;7;6;7;7;9;10;9;9;9;9;6;10;6;7;7;9;10;8;11;11;9;11;9;11;7;7;10;6;11;9;11;9;9;8;10;8;9;9;10;11;13;10;7;12;13;9;9;9;11;13;9;11;11;12;9;7;7;10;9;11;9;8;11;12;9;10;8;8;8;9;11;9;13;10;8;10;9;5;6;8;10;10;8;9;9;7
Attraction27;Park1;11;10;6;9;8;7;6;9;8;10;9;8;15;14;16;9;9;15;15;16;17;12;15;17;17;12;18;20;17;11;12;20;14;17;17;18;10;10;13;12;14;16;13;14;9;13;15;15;15;15;11;20;17;14;17;15;12;17;13;12;19;21;20;19;18;21;17;20;20;15;19;18;20;19;17;15;13;13;16;17;13;15;12;19;13;16;19;15;21;15;17;21;15;16;13;18;16;18;14;15;20;12;18;19;13;11;11;17;16;16;13;14;17;20;18;19;18;18;11;15
Attraction28;Park1;4;5;7;6;4;8;6;8;7;8;6;6;8;12;8;8;10;7;7;12;8;10;8;8;12;9;10;8;13;11;9;13;10;12;11;11;10;8;12;8;13;9;10;12;11;14;12;11;13;12;11;11;10;13;14;14;13;11;10;15;16;10;12;16;16;11;16;12;12;17;13;16;9;12;13;12;13;15;16;16;9;11;15;11;10;17;17;16;16;11;11;13;13;15;17;10;14;10;8;15;11;10;9;8;15;14;12;8;11;10;8;11;9;10;12;9;9;12;8;12
Attraction29;Park1;10;8;6;9;9;8;7;7;10;7;10;10;17;11;12;13;15;11;13;12;12;13;13;15;13;12;18;13;17;14;17;14;13;17;10;13;13;15;16;13;17;16;11;17;15;18;18;19;15;14;12;16;12;13;15;18;16;12;14;13;14;14;14;17;15;19;14;12;16;12;15;19;15;17;23;14;13;21;17;15;19;14;14;17;16;22;19;19;17;13;19;19;14;16;18;18;15;18;18;12;12;10;11;12;14;10;15;13;10;15;18;12;18;11;16;14;13;11;14;14
Attraction30;Park1;4;6;6;5;6;3;5;3;5;5;4;5;7;6;7;6;9;6;6;8;7;5;6;6;9;6;7;6;7;7;10;8;7;7;7;6;8;10;7;6;9;8;6;9;9;6;6;9;11;12;11;8;12;13;8;12;12;7;8;12;8;11;11;12;9;12;10;10;8;11;12;11;11;8;10;10;10;11;13;11;11;12;14;13;10;10;7;9;11;11;8;7;12;8;7;10;8;11;12;6;6;11;7;11;12;10;7;6;9;10;7;8;9;7;6;10;6;10;7;9
Attraction31;Park1;5;5;6;6;6;7;7;7;5;6;5;7;11;6;7;7;8;7;11;9;10;10;9;8;13;13;9;10;9;7;10;12;9;9;10;8;13;10;12;14;14;10;12;11;8;10;10;12;14;14;16;14;9;9;9;15;12;13;14;10;13;16;15;14;12;14;12;11;17;12;15;13;16;12;11;16;16;11;10;13;15;10;12;14;11;9;15;10;11;9;16;9;12;14;16;13;15;10;12;9;9;14;14;16;13;11;8;16;9;10;7;10;13;12;10;8;11;7;11;8
Attraction32;Park1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;2;2;1;1;2;2;2;3;1;3;2;3;1;2;2;3;2;3;1;2;3;2;2;3;2;3;2;2;2;2;2;2;2;2;2;3;2;2;2;3;3;2;2;3;3;2;3;2;3;2;3;2;3;2;3;3;3;2;2;2;2;3;2;2;2;2;2;3;3;3;1;1;1;2;3;3;2;2;2;3;3;2;3;3;2;3;2;3;1;3;2;2;1;1;2;1;2;3;1;2
Attraction33;Park1;7;5;6;5;7;6;4;5;5;4;8;5;10;9;10;11;10;9;6;6;11;6;9;8;12;13;13;13;12;13;13;9;12;8;14;10;10;8;9;9;8;13;10;13;12;9;10;13;11;11;12;13;13;13;9;13;12;12;15;8;11;10;12;11;10;14;14;14;15;12;12;15;15;10;17;9;15;14;15;16;10;14;12;13;14;12;9;14;15;10;15;13;14;12;9;10;9;11;13;12;13;14;11;9;9;12;11;13;12;9;11;9;9;8;8;9;10;7;7;8
Attraction34;Park1;6;7;6;6;8;6;7;4;7;6;6;5;9;8;9;6;6;9;6;10;10;6;9;9;10;14;13;8;9;8;10;13;10;9;14;9;14;10;15;11;14;11;10;8;14;10;11;13;9;10;15;10;14;16;16;11;11;10;14;16;18;15;10;18;17;14;10;17;16;13;18;13;14;10;13;10;11;11;10;16;9;12;14;13;16;15;11;11;14;13;11;13;17;16;11;10;8;11;12;13;9;15;11;14;11;12;15;16;11;12;12;8;10;8;12;8;12;13;8;9
Attraction35;Park1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;2;1;2;2;1;1;1;2;2;2;3;2;3;2;3;3;2;2;2;2;2;2;1;1;2;1;1;2;1;2;2;2;1;2;2;2;2;3;2;3;3;2;2;3;3;2;2;2;3;2;3;3;2;2;3;3;2;3;2;3;2;3;2;3;2;3;3;3;3;3;2;2;4;3;2;4;2;3;2;4;2;3;3;2;2;2;2;2;2;2;3;3;2;2;2;2;1;1;1;2;2;2;2;2;2
Attraction36;Park1;8;6;9;8;7;8;8;7;9;6;8;9;7;9;7;11;9;10;10;12;8;8;10;9;9;11;7;7;12;7;9;9;7;10;11;10;10;10;10;15;12;13;12;14;8;14;9;10;13;8;10;9;8;8;14;11;14;10;13;11;18;14;12;14;14;17;18;12;14;12;15;10;12;12;18;18;11;12;11;18;14;13;11;12;16;13;10;10;16;12;9;9;13;14;9;11;14;11;12;10;13;9;15;12;13;12;10;11;11;9;12;9;12;10;8;10;9;10;11;13
Attraction37;Park1;2;2;2;2;2;3;2;3;2;2;3;2;4;3;4;5;4;3;3;4;4;3;3;5;3;5;6;4;4;4;6;4;4;4;3;4;6;4;4;4;6;4;5;5;6;5;5;3;5;6;7;7;4;7;6;7;6;4;4;6;4;5;6;3;7;4;6;6;4;7;5;4;5;7;4;4;7;4;6;7;5;4;5;5;4;6;4;4;6;4;5;5;6;6;4;4;5;4;6;3;6;6;6;4;4;4;6;6;4;4;5;4;4;4;5;6;3;4;4;4
Attraction38;Park1;2;3;3;3;4;2;3;2;3;2;4;3;5;2;4;4;2;3;3;3;4;4;4;4;3;5;4;5;5;4;5;4;5;4;4;3;4;4;5;3;6;6;4;6;5;6;6;4;7;5;7;4;4;5;5;4;5;7;4;7;4;6;6;5;6;4;7;5;5;5;4;6;4;5;6;4;4;6;6;4;4;7;5;5;7;4;5;6;4;5;5;6;4;6;5;6;5;4;4;4;6;4;3;4;5;4;4;4;4;5;4;5;4;6;4;5;4;4;4;5
Attraction39;Park2;6;5;5;6;7;6;4;5;5;6;7;5;9;7;8;7;7;7;6;8;9;8;7;7;9;8;6;9;7;7;8;6;8;7;7;10;8;11;10;8;10;7;11;7;7;7;6;11;7;6;7;11;8;9;10;11;10;10;10;11;13;11;9;8;9;7;13;12;12;14;13;7;13;13;11;8;12;12;9;13;8;10;13;8;10;10;6;7;9;11;7;7;10;11;9;7;8;8;7;11;10;7;8;11;7;10;8;8;6;7;7;11;6;6;9;9;8;8;6;8
Attraction40;Park2;3;2;2;2;2;2;3;2;4;3;2;3;4;2;3;3;4;4;3;3;4;3;4;4;3;5;4;3;5;4;4;4;4;5;4;4;3;4;4;3;3;6;5;3;3;5;4;5;6;5;5;5;6;7;6;4;5;6;6;7;4;5;5;6;6;7;7;5;5;5;4;4;5;5;5;8;7;6;4;6;6;7;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Attraction41;Park2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;2;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;1;2;2;3;2;3;3;2;2;2;2;3;3;2;2;3;3;3;2;2;3;2;2;2;3;2;2;3;3;1;3;2;2;2;2;3;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Attraction42;Park2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;3;2;2;3;1;2;3;2;3;3;2;2;1;3;2;2;3;3;2;2;2;2;3;2;2;2;2;3;2;3;3;2;3;3;3;3;3;2;2;2;1;2;2;2;3;2;2;3;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Attraction43;Park2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;1;1;2;1;2;2;3;2;3;2;2;3;3;2;3;2;2;3;3;2;2;3;2;2;2;1;2;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Attraction44;Park2;1;1;1;1;0;1;1;1;1;1;0;1;1;1;2;2;1;1;1;2;1;2;1;2;2;1;2;1;2;2;2;2;2;3;2;2;2;3;2;3;3;2;2;2;2;2;2;2;3;3;2;3;3;2;2;2;2;3;2;2;3;3;2;2;3;2;2;3;2;3;2;2;2;3;2;2;2;2;2;2;2;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Attraction45;Park2;3;3;3;2;3;3;2;3;4;2;2;3;4;3;4;3;5;4;2;3;3;4;4;3;3;3;5;5;5;3;6;3;5;3;4;3;4;4;5;4;3;5;4;5;5;5;4;4;4;4;6;4;5;4;4;4;3;3;3;6;7;8;5;6;4;7;5;5;7;5;6;5;7;6;6;5;7;5;8;5;8;5;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Attraction46;Park2;2;2;2;3;2;3;2;3;3;3;2;3;3;3;4;5;4;5;5;3;4;3;3;3;4;6;5;5;5;3;3;5;3;5;4;6;4;4;3;5;6;6;6;4;5;4;5;5;3;6;3;6;6;4;5;6;4;3;6;4;5;7;5;4;4;5;7;5;4;5;4;5;5;7;6;4;4;7;5;5;6;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Attraction47;Park2;5;5;4;6;4;4;3;4;4;5;4;5;7;8;6;6;8;7;5;8;7;7;6;6;7;6;10;9;6;7;7;9;7;9;9;8;9;9;10;10;6;9;7;11;9;11;10;8;8;7;10;11;10;7;8;9;6;6;7;9;12;10;10;12;7;10;10;10;9;7;10;9;9;11;12;12;7;11;7;13;9;13;11;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Attraction48;Park2;3;3;3;3;4;3;3;2;3;2;2;3;3;4;2;3;3;4;4;4;4;3;4;3;3;4;5;3;5;3;4;3;4;4;4;5;3;4;5;5;4;4;5;3;3;4;5;5;5;6;7;5;6;5;6;5;7;4;4;7;6;8;7;4;4;7;4;6;7;8;8;7;4;6;5;5;5;5;5;7;4;4;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Attraction49;Park2;9;7;9;10;7;6;10;10;7;9;7;6;9;14;14;8;14;11;8;14;10;9;9;15;10;10;16;9;12;16;13;15;9;11;9;9;13;12;20;11;19;14;14;14;15;12;14;15;13;12;16;13;13;14;13;12;14;17;15;16;20;19;18;19;17;17;13;20;19;13;17;12;17;21;18;25;22;16;16;21;16;20;19;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Attraction50;Park2;6;8;7;7;8;8;6;6;7;4;5;8;9;7;10;12;10;11;7;10;12;8;10;12;11;7;9;7;11;10;11;12;11;8;11;10;13;13;12;8;10;13;12;10;13;10;14;10;13;12;12;13;8;13;9;9;8;9;9;10;10;11;13;10;16;12;15;12;11;13;10;14;12;9;11;11;14;13;15;15;9;11;11;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
